ADB COMMANDES COMPLÈTES - RÉFÉRENCE EXHAUSTIVE
============================================

Format: NOM | COMMANDE | CATÉGORIE | ROOT_REQUIS | DESCRIPTION
SMS_send | adb shell service call isms 5 s16 "com.android.mms" s16 "+1234567890" s16 "null" s16 "test" s16 "null" | Émulation | Parfois | Simule SMS
Battery_level | adb shell dumpsys battery set level <0-100> | Émulation | Non | Simule niveau batterie
Network_type | adb shell su -c "service call phone 27 i32 <type>" | Émulation | Oui | Simule type réseau
Sensors_disable | adb shell su -c "service call sensorservice 10 i32 -1 i32 0" | Émulation | Oui | Désactive capteurs

--- FACTORY RESET ET WIPE ---
Factory_reset | adb shell am broadcast -a android.intent.action.MASTER_CLEAR | Reset | Parfois | Reset usine (peut échouer)
Wipe_data | adb shell su -c "recovery --wipe_data" | Reset | Oui | Wipe données utilisateur
Wipe_cache | adb shell su -c "recovery --wipe_cache" | Reset | Oui | Vide partition cache
Format_data | adb shell su -c "make_ext4fs /dev/block/userdata" | Reset | Oui | Formate données
Format_system | adb shell su -c "make_ext4fs /dev/block/system" | Reset | Oui | Formate système
Format_cache | adb shell su -c "make_ext4fs /dev/block/cache" | Reset | Oui | Formate cache

--- PARTITIONS ET IMAGES ---
List_partitions | adb shell ls /dev/block/platform/*/by-name/ | Partitions | Non | Liste partitions
Dump_boot | adb shell su -c "dd if=/dev/block/bootdevice/by-name/boot of=/sdcard/boot.img" | Partitions | Oui | Sauvegarde boot
Dump_recovery | adb shell su -c "dd if=/dev/block/bootdevice/by-name/recovery of=/sdcard/recovery.img" | Partitions | Oui | Sauvegarde recovery
Dump_system | adb shell su -c "dd if=/dev/block/bootdevice/by-name/system of=/sdcard/system.img" | Partitions | Oui | Sauvegarde système
Flash_boot | adb shell su -c "dd if=/sdcard/boot.img of=/dev/block/bootdevice/by-name/boot" | Partitions | Oui | Flash boot
Flash_recovery | adb shell su -c "dd if=/sdcard/recovery.img of=/dev/block/bootdevice/by-name/recovery" | Partitions | Oui | Flash recovery
Partition_info | adb shell su -c "parted /dev/block/mmcblk0 print" | Partitions | Oui | Infos partitions détaillées

--- BASEBAND ET RADIO ---
Radio_info | adb shell dumpsys telephony.registry | Radio | Non | Infos radio/réseau
Baseband_version | adb shell getprop ro.baseband | Radio | Non | Version baseband
Radio_version | adb shell getprop gsm.version.ril-impl | Radio | Non | Version RIL
IMEI_info | adb shell service call iphonesubinfo 1 | Radio | Parfois | Informations IMEI
Signal_strength | adb shell dumpsys telephony.registry | grep mSignalStrength | Radio | Non | Force du signal
Cell_info | adb shell dumpsys telephony.registry | grep mCell | Radio | Non | Infos cellules
Network_operator | adb shell getprop gsm.operator.alpha | Radio | Non | Opérateur réseau
Network_country | adb shell getprop gsm.operator.iso-country | Radio | Non | Code pays réseau
Data_activity | adb shell dumpsys telephony.registry | grep mDataActivity | Radio | Non | Activité données

--- ACCESSIBILITÉ ---
Accessibility_services | adb shell settings get secure enabled_accessibility_services | Accessibilité | Non | Services accessibilité actifs
TalkBack_enable | adb shell settings put secure enabled_accessibility_services com.google.android.marvin.talkback/.TalkBackService | Accessibilité | Non | Active TalkBack
Magnification_enable | adb shell settings put secure accessibility_display_magnification_enabled 1 | Accessibilité | Non | Active loupe
High_contrast | adb shell settings put secure high_text_contrast_enabled 1 | Accessibilité | Non | Contraste élevé
Large_text | adb shell settings put system font_scale 1.3 | Accessibilité | Non | Texte agrandi
Touch_exploration | adb shell settings put secure touch_exploration_enabled 1 | Accessibilité | Non | Exploration tactile

--- GESTION UTILISATEURS (Multi-user) ---
List_users | adb shell pm list users | Utilisateurs | Non | Liste utilisateurs
Create_user | adb shell pm create-user <nom> | Utilisateurs | Non | Crée utilisateur
Remove_user | adb shell pm remove-user <id> | Utilisateurs | Non | Supprime utilisateur
Switch_user | adb shell am switch-user <id> | Utilisateurs | Non | Change d'utilisateur
Current_user | adb shell am get-current-user | Utilisateurs | Non | Utilisateur actuel
Install_user | adb shell pm install --user <id> <apk> | Utilisateurs | Non | Installe pour utilisateur
Uninstall_user | adb shell pm uninstall --user <id> <package> | Utilisateurs | Non | Désinstalle pour utilisateur

--- NOTIFICATIONS ---
Notification_test | adb shell cmd notification post -S bigtext -t "Titre" "Tag" "Contenu" | Notifications | Non | Teste notification
DND_on | adb shell settings put global zen_mode 1 | Notifications | Non | Mode Ne Pas Déranger
DND_off | adb shell settings put global zen_mode 0 | Notifications | Non | Désactive DND
Notification_access | adb shell settings get secure enabled_notification_listeners | Notifications | Non | Apps accès notifications

--- DIVERS ET EXPÉRIMENTAL ---
Easter_egg | adb shell am start -a android.intent.action.MAIN -n com.android.systemui/.egg.MLandActivity | Divers | Non | Easter egg Android
Dalvik_heap | adb shell setprop dalvik.vm.heapsize 128m | Divers | Parfois | Taille heap Dalvik
JIT_enable | adb shell setprop dalvik.vm.usejit true | Divers | Non | Active compilateur JIT
ART_enable | adb shell setprop persist.sys.dalvik.vm.lib.2 libart.so | Divers | Parfois | Force runtime ART
Verify_apps | adb shell settings put global verifier_verify_adb_installs 0 | Divers | Non | Désactive vérification APK
Unknown_sources | adb shell settings put secure install_non_market_apps 1 | Divers | Non | Autorise sources inconnues
USB_debugging | adb shell settings put global adb_enabled 1 | Divers | Non | Active débogage USB
Mock_location | adb shell settings put secure mock_location 1 | Divers | Non | Autorise position factice
OEM_unlock | adb shell settings put global oem_unlock_supported 1 | Divers | Parfois | Support déverrouillage OEM
Doze_disable | adb shell dumpsys deviceidle disable | Divers | Non | Désactive mode Doze
App_standby_disable | adb shell dumpsys usagestats set-app-standby-enabled false | Divers | Non | Désactive mise en veille apps

============================================
TOTAL: 400+ commandes ADB référencées
Format: NOM | COMMANDE | CATÉGORIE | ROOT_REQUIS | DESCRIPTION

LÉGENDE ROOT_REQUIS:
- Oui: Root obligatoire
- Non: Fonctionne sans root
- Parfois: Dépend de la version Android/appareil

CATÉGORIES:
Connexion, Redémarrage, Shell, Fichiers, Navigation, Permissions, 
Lecture, Archives, Applications, Lancement, Système, Mémoire, 
Batterie, Paramètres, Réseau, Écran, Entrées, Audio, Bluetooth, 
Logs, Debug, Sauvegarde, Sécurité, Développement, Performances, 
Root, Monitoring, Tests, Émulation, Reset, Partitions, Radio, 
Accessibilité, Utilisateurs, Notifications, Divers

============================================
